location_id,sample_depth_min,sample_depth_max,SOCc,BD
Boon1_7,0,15,1.046,1.1505324303335462
Boon1_7,15,25,0.632,1.4275526375163363
Boon1_7,25,27.5,0.371,1.5218593992492555
Boon1_7,27.5,30,0.344,1.5878620384033182
Boon1_7,30,32.5,0.288,1.5524699364221626
Boon1_7,32.5,35,0.267,1.5892833174908236
Boon1_7,35,45,0.28,1.3939657265783625
Boon1_7,45,55,0.226,1.4564188257558026
Boon1_7,55,57.5,0.195,1.5908278189860763
Boon1_8,0,15,1.041,1.057212659770003
Boon1_8,15,25,0.533,1.3747029074570518
Boon1_8,25,27.5,0.369,1.6267712251415203
Boon1_8,27.5,30,0.332,1.5915961487748043
Boon1_8,30,32.5,0.337,1.5270544112803364
Boon1_8,32.5,35,0.329,1.4872301109718213
Boon1_8,35,45,0.307,1.3918139233289488
Boon1_8,45,55,0.232,1.4485592765392328
Boon1_8,55,57.5,0.207,1.5995273106772447
Boon1_8,57.5,60,0.204,1.430586890517919
Boon1_8,60,62.5,0.346,1.5346787948821798
Boon1_8,62.5,65,0.265,1.3996876626336392
Boon1_9,0,15,0.943,1.0507734731885883
Boon1_9,15,25,0.541,1.383412448361748
Boon1_9,25,27.5,0.3,1.7188157270863567
Boon1_9,27.5,30,0.328,1.427858507744171
Boon1_9,30,32.5,0.283,1.6039001576976206
Boon1_9,32.5,35,0.261,1.5414652596924494
Boon1_9,35,45,0.253,1.433891242777765
Boon1_10,0,15,1.042,0.980270440230195
Boon1_10,15,25,0.719,1.4022435451787199
Boon1_10,25,27.5,1.019,1.4224629278093888
Boon1_10,27.5,30,0.337,1.5711371518023634
Boon1_10,30,32.5,0.336,1.4635328845466573
Boon1_10,32.5,35,0.325,1.587351980426617
Boon1_10,35,45,0.306,1.4363011526944118
Boon1_11,15,25,0.799,1.3761513306616522
Boon1_11,25,27.5,0.54,1.3734589301124225
Boon1_11,27.5,30,0.497,1.530068597824953
Boon1_11,30,32.5,0.502,1.4047067890495009
Boon1_11,32.5,35,0.459,1.433581865677906
Boon1_11,35,45,0.422,1.404921304928403
Boon1_11,45,55,0.356,1.4261067786541006
Boon1_11,55,57.5,0.323,1.3613666619843936
Boon1_11,57.5,60,0.299,1.4856607581527332
Boon1_11,60,62.5,0.321,1.3542801129046274
Boon1_11,62.5,65,0.277,1.470922905725919
Boon1_11,65,75,0.302,1.3281722865420913
Boon1_12,0,15,1.251,1.1322762106905304
Boon1_12,15,25,1.023,1.3837367318830573
Boon1_12,25,27.5,1.213,1.3350826383412635
Boon1_12,27.5,30,1.341,1.1503410145191673
Boon1_12,30,32.5,1.268,1.2148551122673308
Boon1_12,32.5,35,0.934,1.3787626309145133
Boon1_12,35,45,0.703,1.2868952442480086
Boon1_12,45,55,0.478,1.2068546275780834
Boon1_12,55,57.5,0.462,1.5225166897518525
Boon1_12,57.5,60,0.443,1.3912836971212432
Boon1_12,60,62.5,0.442,1.3631740460730353
Boon1_12,62.5,65,0.411,1.4350087893160566
Boon1_12,65,75,0.339,1.2830394432112007
Boon2_7,0,15,1.069,1.0121585901212882
Boon2_7,15,25,0.712,1.222994669423308
Boon2_7,25,27.5,0.991,1.527564562677441
Boon2_7,27.5,30,0.905,1.567199493633789
Boon2_7,30,32.5,0.751,1.352782655744174
Boon2_7,32.5,35,0.655,1.3070136635327048
Boon2_7,35,45,0.575,1.2615305276935616
Boon2_7,45,55,0.488,1.2259745789631957
Boon2_7,55,57.5,0.445,1.3010529491116674
Boon2_7,57.5,60,0.452,1.1090298697811432
Boon2_7,60,62.5,0.426,1.1490943046897901
Boon2_7,62.5,65,0.481,1.2484908858468202
Boon2_7,65,75,0.381,1.2828882218177402
Boon2_8,0,15,1.135,0.9929896580658011
Boon2_8,15,25,0.646,1.4063702800088567
Boon2_8,25,27.5,0.561,1.626418279427559
Boon2_8,27.5,30,0.527,1.6372410970644753
Boon2_8,30,32.5,0.354,1.617978574170884
Boon2_8,32.5,35,0.249,1.6230466310821763
Boon2_8,35,45,0.275,1.445640193106565
Boon2_8,45,55,0.236,1.4126336756470752
Boon2_8,55,57.5,0.213,1.5837982886752346
Boon2_8,57.5,60,0.236,1.5417554743969872
Boon2_8,60,62.5,0.298,1.4077824408154873
Boon2_8,62.5,65,0.421,1.2578445614004132
Boon2_8,65,75,0.228,1.3619321701519305
Boon2_9,15,25,0.31,1.4681485068657736
Boon2_9,25,27.5,0.319,1.4108379390846637
Boon2_9,27.5,30,0.278,1.5176184659297587
Boon2_9,30,32.5,0.247,1.3604712257184282
Boon2_9,32.5,35,0.239,1.6683363448252049
Boon2_9,35,45,0.221,1.4202893243058115
Boon2_9,45,55,0.229,1.4280442191254599
Boon2_9,55,57.5,0.222,1.6202188442590826
Boon2_9,57.5,60,0.234,1.515525561303976
Boon2_9,60,62.5,0.253,1.279217792347805
Boon2_9,62.5,65,0.261,1.4536930923938705
Boon2_9,65,75,0.252,1.3587055971524324
Boon2_10,32.5,35,0.411,1.4209795921045767
Boon2_10,35,45,0.4,1.3005010205861693
Boon2_10,45,55,0.376,1.2663911420303116
Boon2_10,62.5,65,0.293,1.4683523629853759
Boon2_11,0,15,0.979,0.904118332772947
Boon2_11,15,25,0.504,1.3410466136348085
Boon2_11,25,27.5,0.296,1.5562433953433918
Boon2_11,27.5,30,0.301,1.27834653867831
Boon2_11,30,32.5,0.27,1.402802121212294
Boon2_11,32.5,35,0.282,1.3644967663867997
Boon2_11,35,45,0.284,1.3822078611068376
Boon2_12,0,15,0.671,1.2544914064693167
Boon2_12,15,25,0.616,1.3647364608810049
Boon2_12,25,27.5,0.311,1.591738877718119
Boon2_12,27.5,30,0.417,1.3300717532840614
Boon2_12,30,32.5,0.276,1.612060789452883
Boon2_12,32.5,35,0.251,1.481917688677979
Boon2_12,35,45,0.278,1.395231729206626
Boon2_12,45,55,0.239,1.3609541562301646
Boon2_12,55,57.5,0.221,1.5325695632637997
Boon2_12,57.5,60,0.228,1.545281836539123
Boon2_12,60,62.5,0.237,1.3539176657252194
Boon2_12,62.5,65,0.277,1.3363511356145896
Craw3_1,0,15,1.28,1.268625151967833
Craw3_1,15,25,1.011,1.2277333465285745
Craw3_1,25,27.5,0.789,1.3768985757332346
Craw3_1,27.5,30,0.462,1.4314470822246501
Craw3_1,30,32.5,0.472,1.2466642794001768
Craw3_1,32.5,35,0.625,1.1067279603481186
Craw3_2,0,15,1.727,1.2575101589051514
Craw3_2,15,25,1.135,1.3309326812309308
Craw3_2,25,27.5,0.696,1.4171838755502097
Craw3_2,27.5,30,0.614,1.3246573043340562
Craw3_2,30,32.5,0.709,1.2118030676376759
Craw3_2,32.5,35,0.633,1.3420450107491846
Craw3_3,0,15,1.424,1.1132272129870024
Craw3_3,15,25,0.918,1.3830069876188489
Craw3_3,25,27.5,0.854,1.4948535854570963
Craw3_3,27.5,30,0.845,1.4327301914815378
Craw3_3,30,32.5,0.766,1.3456686657496062
Craw3_3,32.5,35,0.76,1.355795780140093
Craw3_4,0,15,0.899,1.22479006033179
Craw3_4,15,25,0.629,1.3174697414647016
Craw3_4,25,27.5,0.648,1.36779280211499
Craw3_4,27.5,30,0.449,1.134978088098233
Craw3_4,30,32.5,0.415,1.2872216255751265
Craw3_4,32.5,35,0.375,1.2326703698675163
Craw3_5,0,15,1.256,1.0563484500584959
Craw3_5,15,25,0.676,1.278371566941297
Craw3_5,25,27.5,0.419,1.3343652442213045
Craw3_5,27.5,30,0.455,1.2515535401409932
Craw3_5,30,32.5,0.544,1.0998967491495084
Craw3_5,32.5,35,0.625,1.3095723151258134
Craw3_6,0,15,1.223,1.2160917117539085
Craw3_6,15,25,0.711,1.380067652613266
Craw3_6,25,27.5,0.655,1.474036291605404
Craw3_6,27.5,30,0.633,1.4408935439107957
Craw3_6,30,32.5,0.608,1.326654078813444
Craw3_6,32.5,35,0.608,1.45726308660847
Craw3_7,0,15,1.116,1.3974373194911653
Craw3_7,15,25,0.419,1.2330816297924945
Craw3_7,25,27.5,0.38,1.3230480605554282
Craw3_7,27.5,30,0.341,1.430573557657758
Craw3_7,30,32.5,0.371,1.2071941342499901
Craw3_7,32.5,35,0.335,1.1947999485371792
Craw3_8,0,15,1.405,1.0751813856754362
Craw3_8,15,25,1.083,1.2922106520649337
Craw3_8,25,27.5,1.071,1.4041995950051616
Craw3_8,27.5,30,1.165,1.366387358046679
Craw3_8,30,32.5,1.09,1.1230943152984225
Craw3_8,32.5,35,1.23,1.3223919418255494
Craw3_9,0,15,0.835,1.1151693219273002
Craw3_9,15,25,0.483,1.3420063526531743
Craw3_9,25,27.5,0.392,1.198942184052122
Craw3_9,27.5,30,0.382,1.4843532042267236
Craw3_9,30,32.5,0.364,1.3188708868017007
Craw3_9,32.5,35,0.332,1.344751248493277
Craw3_10,0,15,1.417,1.1012418116625189
Craw3_10,15,25,1.122,1.2719648702848547
Craw3_10,25,27.5,0.853,1.3358278601706837
Craw3_10,27.5,30,0.966,1.1922506228038796
Craw3_10,30,32.5,0.894,1.2466160675906015
Craw3_10,32.5,35,0.877,1.3246897203358137
Craw3_1,35,45,0.668,1.2005223328684989
Craw3_1,45,55,0.597,1.2473580661420478
Craw3_1,55,57.5,0.511,1.2197220509578774
Craw3_1,57.5,60,0.524,1.1140750006935725
Craw3_1,60,62.5,0.486,1.2333184067905045
Craw3_1,62.5,65,0.457,1.1988288433675427
Craw3_1,65,75,0.397,1.3350600598204438
Craw3_2,35,45,0.626,1.2247810544767246
Craw3_2,45,55,0.536,1.29411877770089
Craw3_2,55,57.5,0.452,1.2953415065292628
Craw3_2,57.5,60,0.434,1.334657683771921
Craw3_2,60,62.5,0.464,1.1826036759137106
Craw3_2,62.5,65,0.464,1.3423160200881967
Craw3_2,65,75,0.472,1.3257084235649053
Craw3_3,35,45,0.743,1.33928839523682
Craw3_3,45,55,0.836,1.3128306562190402
Craw3_3,55,57.5,0.841,1.3424140109680847
Craw3_3,57.5,60,0.847,1.2026732382287082
Craw3_3,60,62.5,0.723,1.4306599792853893
Craw3_3,62.5,65,0.688,1.3551242833054895
Craw3_3,65,75,0.556,1.3147320802767521
Craw3_4,35,45,0.374,1.300724682676057
Craw3_4,45,55,0.385,1.2828616903728225
Craw3_4,55,57.5,0.28,1.3635489661986901
Craw3_4,57.5,60,0.281,1.4824424646038425
Craw3_4,60,62.5,0.269,1.3589626031925792
Craw3_4,62.5,65,0.275,1.3017542658372259
Craw3_4,65,75,0.228,1.3666901274189918
Craw3_5,35,45,0.596,1.1534987475328333
Craw3_5,45,55,0.537,1.1592345484846063
Craw3_5,55,57.5,0.45,1.3158687047156017
Craw3_5,57.5,60,0.452,1.3594768525640752
Craw3_5,60,62.5,0.421,1.1630072465066357
Craw3_5,62.5,65,0.419,1.1864611628032258
Craw3_5,65,75,0.387,1.3066579054893661
Craw3_6,35,45,0.44,1.3278199187540165
Craw3_6,45,55,0.509,1.2851817002719657
Craw3_6,55,57.5,0.325,1.2996964703400489
Craw3_6,57.5,60,0.309,1.390401480817776
Craw3_6,60,62.5,0.301,1.4304370645829192
Craw3_6,62.5,65,0.291,1.1985287945895453
Craw3_6,65,75,0.376,1.2727865376874092
Craw3_7,35,45,0.341,1.2340540671799936
Craw3_7,45,55,0.303,1.2526356371445875
Craw3_7,55,57.5,0.3,1.4565141806163782
Craw3_7,57.5,60,0.312,1.2517113398724904
Craw3_7,60,62.5,0.224,1.416609881759027
Craw3_7,62.5,65,0.238,1.4575101921398321
Craw3_7,65,75,0.152,1.320930065796889
Craw3_8,35,45,1.129,1.2206331712278735
Craw3_8,45,55,1.074,1.2906780448227648
Craw3_8,55,57.5,1.033,1.0743127772573984
Craw3_8,57.5,60,0.884,1.2671359411658223
Craw3_8,60,62.5,0.722,1.1912530104590286
Craw3_8,62.5,65,0.637,1.3033931179908402
Craw3_8,65,75,0.544,1.2701592089429086
Craw3_9,35,45,0.317,1.316486420785136
Craw3_9,45,55,0.255,1.3658736538417104
Craw3_9,55,57.5,0.259,1.5072972050695466
Craw3_9,57.5,60,0.249,1.3319008429891421
Craw3_9,60,62.5,0.237,1.3886679825426678
Craw3_9,62.5,65,0.228,1.1961891861417728
Craw3_9,65,75,0.14,1.3196511453502227
Craw3_10,35,45,0.772,1.2393757337149842
Craw3_10,45,55,0.714,1.172870564386539
Craw3_10,55,57.5,0.524,1.2045568288118997
Craw3_10,57.5,60,0.479,1.2380226418382623
Craw3_10,60,62.5,0.449,1.2779094119906322
Craw3_10,62.5,65,0.438,1.214172169997808
Craw3_10,65,75,0.365,1.1755786053722785
Craw3_11,15,25,0.966,1.472037370463034
Craw3_11,25,27.5,0.247,1.4700691177804968
Craw3_11,27.5,30,0.232,1.6161137265857362
Craw3_11,30,32.5,0.234,1.5121080974782959
Craw3_11,32.5,35,0.434,1.2804846847426103
Craw3_11,35,45,0.532,1.0838649631241024
Craw3_11,45,55,0.429,1.1793072402218865
Craw3_11,55,57.5,0.357,1.403418677158394
Craw3_11,57.5,60,0.317,1.8020207740067222
Craw3_11,60,62.5,0.278,1.5757114149586025
Craw3_11,62.5,65,0.258,1.2310063551165324
Craw3_11,65,75,0.211,1.4446804757754521
Craw3_12,0,15,1.316,1.2554521201759452
Craw3_12,15,25,0.94,1.4236491756358953
Craw3_12,25,27.5,0.933,1.2441811792743713
Craw3_12,27.5,30,0.973,1.5368370452882965
Craw3_12,30,32.5,0.999,1.6881436891973465
Craw3_12,32.5,35,0.757,1.496582597107095
Craw3_12,35,45,1.707,1.2229308857207994
Craw3_12,45,55,0.365,1.405438549118428
Craw3_12,55,57.5,0.252,1.3631468452273001
Craw3_12,57.5,60,0.22,1.6495428225486795
Craw3_12,60,62.5,0.233,1.3472065938218207
Craw3_12,62.5,65,0.223,1.6234622865565143
Craw3_12,65,75,0.192,1.4918910033715116
Sali1_1,0,15,1.452,1.118315844280481
Sali1_1,27.5,30,0.186,1.6297079132946055
Sali1_1,30,32.5,0.154,1.6031433526919328
Sali1_1,32.5,35,0.129,1.392394606957768
Sali1_1,35,45,0.134,1.4920920442064574
Sali1_1,45,55,0.112,1.255254038007469
Sali1_1,55,57.5,0.129,1.6586865810528217
Sali1_1,57.5,60,0.133,1.6717432285727418
Sali1_1,60,62.5,0.125,1.6503832166272367
Sali1_1,62.5,65,0.171,1.5399792925649674
Sali1_1,65,75,0.086,1.5654768387908797
Sali1_2,0,15,1.392,1.0565209730899703
Sali1_2,15,25,0.533,1.2783734170332453
Sali1_2,25,27.5,0.44,1.5321063750042383
Sali1_2,27.5,30,0.386,1.264913601159769
Sali1_2,30,32.5,0.358,1.5086897661776082
Sali1_2,32.5,35,0.341,1.3847354310324294
Sali1_2,35,45,0.317,1.3187565995812722
Sali1_2,45,55,0.27,1.2956843050224354
Sali1_2,55,57.5,0.288,1.5214590767170406
Sali1_2,57.5,60,0.249,1.364731264389016
Sali1_2,60,62.5,0.251,1.3212208429453263
Sali1_2,62.5,65,0.253,1.4489381750634405
Sali1_2,65,75,0.283,1.4865781744729396
Sali1_3,0,15,1.597,1.1549323090319579
Sali1_3,25,27.5,0.259,1.4872374613269854
Sali1_3,27.5,30,0.221,1.4609264200435246
Sali1_3,30,32.5,0.164,1.6953050330944268
Sali1_3,32.5,35,0.168,1.4093462711945661
Sali1_3,35,45,0.133,1.4262836833660573
Sali1_3,45,55,0.13,1.46850068998919
Sali1_3,55,57.5,0.117,1.5839728644418094
Sali1_3,57.5,60,0.114,1.5405472510646603
Sali1_3,60,62.5,0.115,1.5768991742936933
Sali1_3,62.5,65,0.115,1.6494478707725186
Sali1_3,65,75,0.133,1.4555353585946758
Sali1_4,0,15,1.553,1.2072722624995775
Sali1_4,15,25,0.433,1.2146054168369893
Sali1_4,25,27.5,0.304,1.3374121795433382
Sali1_4,27.5,30,0.242,1.4723834139516638
Sali1_4,30,32.5,0.32,1.3688539256772103
Sali1_4,32.5,35,0.264,1.3980620733679632
Sali1_4,35,45,0.236,1.3674985912139719
Sali1_4,45,55,0.198,1.376716814621286
Sali1_4,55,57.5,0.202,1.8173769957174808
Sali1_4,57.5,60,0.155,1.496024614020837
Sali1_4,60,62.5,0.143,1.657332115788017
Sali1_4,62.5,65,0.152,1.438472767060718
Sali1_4,65,75,0.121,1.5067841595750837
Sali1_5,0,15,2.044,1.0568457664295976
Sali1_5,15,25,0.983,1.2203392720113864
Sali1_5,25,27.5,0.563,1.2695764085842798
Sali1_5,27.5,30,0.496,1.2657944934560745
Sali1_5,30,32.5,0.41,1.547482576478577
Sali1_5,32.5,35,0.443,1.3379193153384015
Sali1_5,35,45,0.323,1.3147910384810075
Sali1_5,45,55,0.27,1.4083213928079987
Sali1_5,55,57.5,0.255,1.4485059256420558
Sali1_5,57.5,60,0.257,1.4825268959557796
Sali1_5,60,62.5,0.221,1.5888922701942356
Sali1_5,62.5,65,0.228,1.5744671318152188
Sali1_5,65,75,0.222,1.484942177628495
Sali1_6,0,15,1.819,1.1261401941434614
Sali1_6,45,55,0.261,1.302169218672575
Sali1_6,55,57.5,0.277,1.394437349229749
Sali1_6,57.5,60,0.26,1.5407783091812604
Sali1_6,60,62.5,0.246,1.5312779305636888
Sali1_6,62.5,65,0.243,1.4907578912728419
Sali1_6,65,75,0.236,1.4458405257874645
Sali1_7,0,15,1.769,1.0952497807113872
Sali1_7,15,25,0.486,1.2230100717538088
Sali1_7,25,27.5,0.43,1.2454825245059573
Sali1_7,27.5,30,0.388,1.4325706481094058
Sali1_7,30,32.5,0.322,1.372077785318225
Sali1_7,32.5,35,0.286,1.3470604608210053
Sali1_7,35,45,0.204,1.299646455903923
Sali1_7,45,55,0.217,1.315908853445089
Sali1_7,55,57.5,0.174,1.38261123615619
Sali1_7,57.5,60,0.183,1.4631637039484577
Sali1_7,60,62.5,0.173,1.368702156818572
Sali1_7,62.5,65,0.154,1.4925395532987906
Sali1_7,65,75,0.13,1.3725401444476613
Sali1_8,0,15,2.062,1.1453298961002603
Sali1_8,30,32.5,0.195,1.5213367558428939
Sali1_8,32.5,35,0.226,1.3423085219864883
Sali1_8,35,45,0.162,1.3123567001229182
Sali1_8,45,55,0.129,1.3560964940396651
Sali1_8,55,57.5,0.134,1.3519731814270821
Sali1_8,57.5,60,0.144,1.5944496745584247
Sali1_8,60,62.5,0.111,1.5912010786528548
Sali1_8,62.5,65,0.108,1.3874360734730946
Sali1_8,65,75,0.105,1.397048948672311
Sali1_9,0,15,1.978,1.1889803847434308
Sali1_9,25,27.5,0.586,1.5179814885138536
Sali1_9,27.5,30,0.429,1.4058179624702882
Sali1_9,30,32.5,0.283,1.4631264835260873
Sali1_9,32.5,35,0.233,1.334365738025625
Sali1_9,35,45,0.196,1.4350774588730435
Sali1_9,45,55,0.199,1.413498948741483
Sali1_9,55,57.5,0.257,1.4285526018285641
Sali1_9,57.5,60,0.239,1.541852600897176
Sali1_9,60,62.5,0.207,1.6327391536632678
Sali1_9,62.5,65,0.258,1.630057843699081
Sali1_9,65,75,0.15,1.3150732633317594
Sali1_10,0,15,2.22,1.0554545709035525
Sali1_10,25,27.5,0.391,1.261869696374251
Sali1_10,27.5,30,0.334,1.4857696551493997
Sali1_10,30,32.5,0.305,1.3928694565854849
Sali1_10,32.5,35,0.274,1.48059569916346
Sali1_10,35,45,0.257,1.352646023367045
Sali1_10,45,55,0.201,1.4192973987945012
Sali1_10,55,57.5,0.183,1.559437316826648
Sali1_10,57.5,60,0.174,1.5869620971547431
Sali1_10,60,62.5,0.152,1.617678463518296
Sali1_10,62.5,65,0.15,1.6019649621291894
Sali1_10,65,75,0.117,1.3642522730752311
Sali1_11,0,15,1.637,1.1492725414508287
Sali1_11,15,25,0.609,1.1974421660226833
Sali1_11,25,27.5,0.293,1.4515529511961136
Sali1_11,27.5,30,0.285,1.3921416550832837
Sali1_11,30,32.5,0.303,1.4376222383498938
Sali1_11,32.5,35,0.289,1.4190884182843237
Sali1_11,35,45,0.216,1.3325217593453027
Sali1_11,45,55,0.183,1.3333557308843966
Sali1_11,55,57.5,0.196,1.3022565240917614
Sali1_11,57.5,60,0.165,1.4884391562901662
Sali1_11,60,62.5,0.136,1.3231287208545301
Sali1_11,62.5,65,0.128,1.4258248308612878
Sali1_11,65,75,0.147,1.2933940628868912
Sali1_12,0,15,1.655,1.053006237551024
Sali1_12,15,25,0.735,1.1612789032026756
Sali1_12,25,27.5,0.464,1.3899815852394888
Sali1_12,30,32.5,0.336,1.3268575237965448
Sali1_12,32.5,35,0.331,1.3986753920908102
Sali1_12,45,55,0.227,1.3472277174317306
Sali1_12,55,57.5,0.199,1.6006079429958378
Sali1_12,57.5,60,0.163,1.4606178794174027
Sali1_12,60,62.5,0.138,1.3967774636007613
Sali1_12,62.5,65,0.166,1.7081970844675207
Sali1_12,65,75,0.148,1.3315266724811494
Chri10_1,0,15,3.009,1.040294270143434
Chri10_1,15,25,2.297,1.227976483579041
Chri10_1,25,27.5,2.318,1.2342535248538542
Chri10_1,27.5,30,2.282,1.316156320577003
Chri10_1,30,32.5,2.12,1.1924179398483417
Chri10_1,32.5,35,1.903,1.297205184079387
Chri10_1,35,45,1.437,1.203544823731888
Chri10_1,45,55,0.982,1.2615695556788176
Chri10_1,55,57.5,0.811,1.4518607318039374
Chri10_1,57.5,60,0.68,1.1794280318018449
Chri10_1,60,62.5,0.665,1.4365184700699611
Chri10_1,62.5,65,0.528,1.5676257407181071
Chri10_2,0,15,2.374,1.0699510476248675
Chri10_2,15,25,2.044,1.254950276828024
Chri10_2,25,27.5,1.722,1.5326770695244585
Chri10_2,27.5,30,1.611,1.3043941684256153
Chri10_2,30,32.5,1.443,1.3092795896997738
Chri10_2,32.5,35,1.335,1.28158198899893
Chri10_2,35,45,1.026,1.2435575375759633
Chri10_2,45,55,0.654,1.3974597280076297
Chri10_2,55,57.5,0.519,1.3872470466036677
Chri10_2,57.5,60,0.44,1.3175444378404997
Chri10_2,60,62.5,0.426,1.4539449374712372
Chri10_2,62.5,65,0.373,1.7277492093692206
Chri10_3,0,15,2.344,1.0908054881012368
Chri10_3,15,25,1.825,1.2506884999520662
Chri10_3,25,27.5,1.57,1.256225261562662
Chri10_3,27.5,30,1.444,1.151458036168362
Chri10_3,30,32.5,1.314,1.3149802238610084
Chri10_3,32.5,35,1.211,1.328237794812078
Chri10_3,35,45,0.947,1.2425252844017132
Chri10_3,45,55,0.71,1.2072334073458066
Chri10_3,55,57.5,0.595,1.2686215576724837
Chri10_4,0,15,2.116,1.2573916527780034
Chri10_4,15,25,1.307,1.2165895366453565
Chri10_4,25,27.5,1.181,1.4310494295756897
Chri10_4,27.5,30,1.065,1.2047428742307318
Chri10_4,30,32.5,1.049,1.4052138703418422
Chri10_4,32.5,35,0.964,1.6434529986128688
Chri10_5,0,15,1.53,1.1901710311460802
Chri10_5,15,25,1.58,1.3164025596046451
Chri10_5,25,27.5,1.804,1.393303800050101
Chri10_5,27.5,30,1.881,1.5428053206939363
Chri10_5,30,32.5,1.942,1.2868274005535485
Chri10_5,32.5,35,2.356,1.4220669437717846
Chri10_5,35,45,2.463,1.2459543773536559
Chri10_5,45,55,2.223,1.235489570629895
Chri10_5,55,57.5,1.972,1.4439339441663503
